Grid_level;Iter;Iter_Tot;Iter_Type;CFL;Step;Lin_Res;Res_rho;Res_nuturb;C_lift;C_drag;totalRes;
1;0;0;None;0.0;1.0;----;7320.062894350213;0.01153951480946582;0.09149551373100052;3.701037668832862;6673485.782026773;
1;1;1;RK;0.8;1.0;----;1396.733096076297;0.01145778979928287;1.501756290797582;8.062218204570849;5564974.413090271;
1;2;2;RK;0.8;1.0;----;607.9337002249298;0.004586198869565329;2.53441465811856;11.21956436712207;4495985.314707801;
1;3;3;RK;0.8;1.0;----;461.4421783248777;0.001771502675547111;3.148954965712512;13.1850943130227;3672314.728845232;
1;4;4;RK;0.8;1.0;----;488.4628319812195;0.0004329424616239364;3.374142613186168;14.00125914713634;3354218.967119171;
1;5;5;RK;0.8;1.0;----;480.8517102409666;0.0002113400215965933;3.296644629290119;13.83621160896022;3400785.252523385;
1;6;6;RK;0.8;1.0;----;449.3161153923153;0.0001075791564208102;3.041781374798368;12.99451868982807;3430074.508686021;
1;7;7;RK;0.8;1.0;----;409.9036829454619;5.80825416797283e-05;2.741003769779635;11.88698580443831;3250754.472831849;
1;8;8;RK;0.8;1.0;----;369.8512465960842;3.89596528730299e-05;2.494186702920297;10.86161912695897;2938113.820889751;
1;9;9;RK;0.8;1.0;----;339.3813843432444;3.273876346150519e-05;2.355880533130907;10.15632678384443;2656969.183112922;
1;10;10;RK;0.8;1.0;----;322.0599683981952;3.313747477520709e-05;2.333234167244297;9.84479821871727;2503862.894662742;
1;11;11;RK;0.8;1.0;----;310.4281898198338;3.055710775677022e-05;2.400141724534669;9.878530024981192;2432482.012550156;
